epsilon_progress,nfe
0,0
34,100
588,1198
1036,2295
1433,3394
1779,4493
2176,5588
2543,6681
2810,7776
3054,8874
3330,9968
3863,12062
4215,14158
4593,16253
4885,18349
5151,20445
5389,22541
5636,24637
5872,26733
6084,28829
6295,30922
6505,33017
6687,35111
6875,37207
7083,39303
7242,41399
7412,43495
7531,45591
7668,47687
7790,49783
7903,51879
8021,53975
8113,56071
8196,58167
8298,60262
8379,62358
8449,64452
8521,66546
8585,68642
8641,70737
8704,72832
8762,74928
8813,77024
8867,79119
8906,81215
8955,83308
8998,85403
9052,87499
9093,89594
9132,91690
9179,93782
9221,95878
9267,97974
9311,100067
9358,102160
9402,104255
9447,106351
9503,108446
9553,110541
9605,112635
9662,114731
9701,116826
9752,118922
9793,121015
9843,123111
9886,125205
9930,127301
9984,129396
10031,131489
10073,133584
10114,135679
10157,137773
10203,139868
10240,141963
10277,144059
10307,146155
10349,148251
10390,150347
10431,152443
10466,154539
10500,156635
10538,158731
10580,160826
10623,162919
10657,165014
10692,167109
10743,169203
10776,171299
10833,173395
10873,175489
10912,177583
10949,179677
10984,181773
11014,183868
11041,185963
11064,188058
11093,190153
11120,192248
11145,194344
11166,196439
11194,198534
11217,200628
