epsilon_progress,nfe
0,0
30,100
513,1193
951,2290
1376,3382
1688,4478
2072,5575
2380,6672
2633,7766
2777,8766
2868,9863
3531,12745
4031,15528
4451,18310
4831,21094
5208,23878
5561,26661
5926,29443
6222,32227
6510,35011
6778,37795
6996,40578
7181,43361
7363,46145
7536,48928
7662,51712
7801,54496
7953,57280
8073,60063
8209,62846
8340,65630
8451,68413
8542,71194
8645,73975
8740,76758
8834,79539
8932,82322
9022,85105
9097,87888
9164,90668
9241,93446
9309,96230
9375,99011
9442,101794
9511,104578
9570,107357
9633,110140
9702,112924
9781,115707
9845,118491
9909,121274
9979,124057
10040,126841
10102,129623
10172,132406
10235,135190
10297,137971
10363,140754
10425,143538
10486,146320
10547,149102
10606,151886
10662,154669
10724,157449
10777,160233
10823,163016
10883,165799
10934,168582
10983,171365
11043,174145
11100,176928
11160,179711
11210,182493
11252,185275
11296,188057
11345,190836
11398,193619
11446,196401
11494,199181
11529,201965
