epsilon_progress,nfe
0,0
27,100
565,1197
1022,2291
1415,3388
1761,4484
2031,5580
2293,6674
2555,7768
2796,8865
2908,9963
3491,12859
3959,15757
4359,18657
4762,21557
5110,24457
5438,27356
5723,30254
5973,33154
6207,36054
6421,38954
6641,41854
6843,44753
7042,47652
7201,50552
7355,53452
7516,56352
7646,59250
7795,62148
7941,65044
8067,67944
8184,70843
8278,73741
8379,76639
8482,79538
8554,82438
8638,85336
8724,88235
8816,91135
8894,94035
8971,96935
9052,99835
9111,102734
9176,105632
9228,108531
9268,111428
9317,114326
9361,117225
9400,120123
9442,123022
9495,125921
9556,128821
9588,131720
9627,134620
9654,137520
9678,140420
9707,143320
9749,146220
9772,149119
9801,152018
9822,154916
9853,157816
9880,160714
9906,163613
9929,166511
9953,169409
9972,172307
9996,175205
10020,178104
10038,181004
10055,183904
10075,186802
10091,189699
10103,192598
10121,195497
10133,198393
10141,201291
