epsilon_progress,nfe
0,0
40,100
564,1199
933,2296
1321,3393
1724,4490
1990,5586
2205,6681
2509,7780
2844,8876
3152,9972
3757,12496
4220,15020
4613,17544
4996,20068
5357,22592
5732,25116
6099,27640
6437,30162
6808,32682
7111,35206
7419,37730
7692,40253
7952,42777
8223,45299
8487,47823
8742,50347
8929,52871
9072,55394
9190,57915
9322,60437
9470,62961
9599,65485
9707,68009
9809,70533
9897,73057
9976,75581
10066,78105
10153,80629
10228,83151
10311,85675
10386,88197
10456,90720
10542,93244
10612,95763
10676,98285
10730,100809
10793,103332
10867,105856
10929,108380
10991,110904
11056,113427
11115,115949
11169,118473
11223,120995
11290,123519
11343,126043
11401,128567
11449,131090
11508,133611
11563,136135
11615,138659
11651,141183
11683,143707
11719,146229
11764,148751
11801,151275
11834,153796
11877,156320
11922,158843
11946,161367
11987,163891
12026,166415
12058,168939
12086,171461
12122,173985
12153,176507
12185,179031
12212,181555
12244,184077
12272,186599
12317,189123
12342,191647
12371,194170
12400,196693
12434,199217
12455,201740
