epsilon_progress,nfe
0,0
48,100
582,1198
998,2295
1375,3391
1792,4488
2206,5581
2495,6679
2841,7778
3075,8874
3231,9971
3918,13106
4453,16242
4915,19375
5279,22507
5616,25642
5959,28776
6294,31912
6579,35048
6862,38184
7105,41320
7350,44455
7574,47591
7817,50727
8058,53863
8293,56999
8504,60135
8726,63271
8958,66406
9162,69542
9381,72677
9571,75813
9773,78949
9947,82085
10140,85221
10291,88357
10450,91492
10585,94628
10728,97764
10853,100895
10973,104031
11080,107167
11171,110303
11267,113437
11379,116573
11480,119707
11591,122842
11687,125977
11793,129111
11875,132247
11991,135380
12091,138515
12176,141651
12274,144787
12344,147919
12453,151054
12530,154188
12613,157324
12699,160460
12784,163595
12871,166729
12948,169864
13023,172999
13099,176133
13176,179265
13256,182399
13311,185535
13382,188669
13452,191804
13509,194939
13562,198074
13621,201210
