epsilon_progress,nfe
0,0
43,100
604,1197
1027,2294
1415,3392
1839,4392
2228,5489
2548,6584
2870,7680
3123,8774
3363,9870
3887,12233
4250,14500
4550,16766
4847,19033
5115,21301
5413,23568
5690,25835
5958,28103
6167,30371
6373,32639
6574,34907
6748,37175
6899,39443
7072,41711
7231,43978
7364,46246
7487,48514
7586,50780
7680,53046
7757,55314
7860,57582
7946,59850
8034,62117
8122,64385
8194,66653
8262,68918
8340,71184
8393,73450
8447,75717
8498,77985
8560,80244
8610,82512
8657,84779
8707,87047
8756,89315
8818,91580
8863,93848
8905,96115
8953,98383
8994,100651
9033,102919
9087,105186
9143,107454
9189,109720
9230,111988
9267,114253
9307,116517
9350,118783
9394,121046
9436,123314
9481,125582
9516,127849
9558,130117
9587,132385
9628,134652
9677,136920
9711,139187
9755,141454
9796,143721
9839,145989
9880,148256
9916,150524
9945,152790
9974,155050
10007,157317
10037,159581
10071,161849
10101,164115
10135,166380
10177,168646
10204,170913
10244,173181
10268,175449
10295,177717
10324,179982
10350,182249
10367,184513
10391,186777
10417,189043
10438,191310
10456,193578
10470,195846
10495,198114
10510,200378
