epsilon_progress,nfe
0,0
36,100
532,1194
1039,2290
1483,3384
1808,4480
2049,5576
2230,6669
2401,7767
2523,8863
2680,9959
3584,13483
4138,17010
4598,20538
5051,24066
5480,27594
5862,31122
6282,34650
6698,38178
7109,41706
7421,45233
7762,48761
8074,52289
8376,55816
8657,59344
8923,62871
9195,66397
9431,69925
9665,73453
9898,76981
10131,80509
10331,84036
10523,87562
10686,91087
10831,94615
10978,98141
11113,101668
11231,105195
11342,108722
11449,112248
11556,115774
11663,119302
11770,122830
11871,126354
11969,129881
12067,133408
12149,136935
12226,140461
12302,143989
12380,147515
12445,151042
12501,154569
12582,158096
12647,161624
12743,165150
12804,168676
12875,172204
12938,175732
13003,179260
13063,182788
13121,186313
13170,189839
13222,193363
13276,196888
13335,200413
