epsilon_progress,nfe
0,0
30,100
531,1197
938,2294
1280,3387
1555,4485
1910,5577
2218,6673
2541,7770
2860,8868
3101,9964
3617,12528
3998,15092
4352,17656
4728,20220
5034,22784
5308,25348
5573,27912
5807,30476
6070,33040
6299,35604
6485,38164
6654,40727
6816,43291
6974,45855
7102,48418
7235,50981
7357,53545
7467,56107
7584,58671
7702,61235
7796,63798
7889,66361
7986,68925
8090,71488
8192,74052
8288,76615
8401,79178
8468,81735
8559,84299
8645,86861
8729,89425
8813,91989
8889,94552
8948,97111
9033,99671
9108,102231
9164,104795
9243,107358
9317,109921
9382,112481
9452,115044
9514,117606
9578,120168
9645,122731
9716,125295
9784,127856
9832,130420
9886,132984
9939,135546
9998,138109
10065,140672
10120,143234
10187,145798
10234,148359
10316,150922
10371,153485
10423,156044
10474,158607
10523,161166
10574,163729
10620,166291
10670,168855
10719,171419
10763,173981
10810,176545
10853,179107
10908,181670
10949,184233
10986,186797
11018,189358
11069,191920
11113,194481
11163,197045
11202,199608
11231,202170
